Authors,Title,Year,Source,ArticleURL,Type,DOI,Cites,GSRank,QueryDate,Database,SearchTerms,RecordID
"SS Nugueva, IK Gasumov, AI Madadzade…",Study of the Content of Heavy Metals in Atmospheric Precipitation of the Goygol Region of Azerbaijan,2019,… and Earth Sciences …,https://www.atlantis-press.com/proceedings/isees-19/125914151,,,0,121,2024-07-11 11:22:52,"google,google,google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption",70120
"Z Konopka, P Świsłowski, M Rajfur",Biomonitoring of Atmospheric Aerosol with the use of and,2019,Chemistry-Didactics-Ecology …,https://sciendo.com/article/10.2478/cdem-2019-0009,,10.2478/cdem-2019-0009,11,124,2024-07-11 11:22:52,"google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption",70123
WDM Grow,Adirondack Mosses,NA,wildadirondacks.org,https://wildadirondacks.org/adirondack-mosses.html,HTML,,0,125,2024-07-11 11:22:52,"google,google,google,google,google,google,google,google,google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--carbon,pleurozium--chlorophyll,pleurozium--light,pleurozium--photosynthesis,pleurozium--absorption,pleurozium--absorption,pleurozium--carbon,pleurozium--chlorophyll,pleurozium--light,pleurozium--photosynthesis",70124
"A Boryło, W Nowicki, G Olszewski…","Bioaccumulation of polonium (210Po), uranium (234U, 238U) isotopes and trace metals in mosses from Sobieszewo Island, northern Poland",2013,E3S Web of …,https://www.e3s-conferences.org/articles/e3sconf/abs/2013/01/e3sconf_ichm13_29003/e3sconf_ichm13_29003.html,,,0,126,2024-07-11 11:22:52,"google,google,google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--phosphorus,pleurozium--absorption,pleurozium--absorption,pleurozium--phosphorus",70125
"E Droste, B Kotlinska-Filipek, M Matui…",The studies of the Cs-134 and Cs-137 concentration in the moss samples in selected places in Poland during 1986-1990,2004,,https://www.osti.gov/etdeweb/biblio/20473438,,,0,130,2024-07-11 11:22:52,"google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption",70129
"G Brumelis, O Nikodemus",Biological monitoring in Latvia using moss and soil: Problems in the partitioning of anthropogenic and natural effects,1995,Bioindicators …,,CITATION,,11,132,2024-07-11 11:22:52,"google,google,google,google,google,google,google,google,google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--distribution,pleurozium--height,pleurozium--scattering,pleurozium--soil,pleurozium--absorption,pleurozium--absorption,pleurozium--distribution,pleurozium--height,pleurozium--scattering,pleurozium--soil",70131
O Eskelinen,Diet of the wood lemming Myopus schisticolor,2002,Annales Zoologici Fennici,https://www.jstor.org/stable/23735802,,,40,134,2024-07-11 11:22:52,"google,google,google,google,google,google,scopus,scopus,google,google,google,google,google,google,scopus,scopus","pleurozium--absorption,pleurozium--absorption,pleurozium--carbon,pleurozium--light,pleurozium--nitrogen,pleurozium--phosphorus,pleurozium--carbon,pleurozium--nitrogen,pleurozium--absorption,pleurozium--absorption,pleurozium--carbon,pleurozium--light,pleurozium--nitrogen,pleurozium--phosphorus,pleurozium--carbon,pleurozium--nitrogen",70133
"Z Respondek, D Jerz, P Świsłowski, M Rajfur",Active biomonitoring of heavy metal concentrations in aquatic environment using mosses and algae,2022,Water,https://www.mdpi.com/2073-4441/14/20/3335,HTML,,5,138,2024-07-11 11:22:52,"google,google,google,scopus,google,google,google,scopus,scopus,scopus","pleurozium--absorption,pleurozium--absorption,pleurozium--phosphorus,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--phosphorus,pleurozium--absorption,sphagnum--absorption,sphagnum--absorption",70137
"Z Respondek, D Jerz, P Swisłowski, M Rajfur","Active Biomonitoring of Heavy Metal Concentrations in Aquatic Environment Using Mosses and Algae. Water 2022, 14, 3335",2022,,https://www.academia.edu/download/94742091/pdf.pdf,PDF,,1,139,2024-07-11 11:22:52,"google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption",70138
"OA Tsulitsov, M Frontas' eva, OB Blum",Mosses as biogeochemical indicators of atmospheric heavy metal deposition in Ukrainian Carpathians (Chernivetzka and Zakarpatska regions),2002,,https://www.osti.gov/etdeweb/biblio/20329038,,,0,140,2024-07-11 11:22:52,"google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption",70139
"LM Shaposhnikova, NG Rachkova","The role of bryophytes in the migration of uranium, radium-226, and non-radioactive alkaline-earth elements in the Taiga Aquatic and Terrestrial Ecosystems",2022,Geochemistry International,https://link.springer.com/article/10.1134/S0016702922030077,,10.1134/S0016702922030077,1,143,2024-07-11 11:22:52,"google,google,google,scopus,google,google,google,scopus","pleurozium--absorption,pleurozium--absorption,pleurozium--phosphorus,pleurozium--soil,pleurozium--absorption,pleurozium--absorption,pleurozium--phosphorus,pleurozium--soil",70142
DT Streeter,Bryophyte ecology,1970,Science Progress (1933-),https://www.jstor.org/stable/43419985,,,26,144,2024-07-11 11:22:52,"google,google,google,google,,google,,google,google,google,google,google,,google,,google","pleurozium--absorption,pleurozium--absorption,pleurozium--chlorophyll,pleurozium--distribution,,pleurozium--leafarea,,pleurozium--respiration,pleurozium--absorption,pleurozium--absorption,pleurozium--chlorophyll,pleurozium--distribution,,pleurozium--leafarea,,pleurozium--respiration",70143
"BA ROSS, GR WEBSTER, DH VITT",of brine spills in forested areas,NA,academia.edu,https://www.academia.edu/download/42990259/The_Role_Of_Mosses_In_Reclamation_Of_Bri20160223-10464-8jeg8q.pdf,PDF,,0,145,2024-07-11 11:22:52,"google,google,google,google,google,google,google,google,google,google,google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--phosphorus,pleurozium--rhizoid,pleurozium--soil,pleurozium--watercontent,pleurozium--waterpotential,pleurozium--absorption,pleurozium--absorption,pleurozium--phosphorus,pleurozium--rhizoid,pleurozium--soil,pleurozium--watercontent,pleurozium--waterpotential",70144
E Steinnes,Use of mosses to monitor trace element deposition from the atmosphere: why and how,2001,Radionuclides and heavy metals in environment,https://link.springer.com/chapter/10.1007/978-94-010-0993-5_23,,10.1007/978-94-010-0993-5_23,3,147,2024-07-11 11:22:52,"google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption",70146
"S Gombert, CR De Traubenberg, R Losno…",Biomonitoring of element deposition using mosses in the 2000 French survey: identifying sources and spatial trends,2004,Journal of Atmospheric …,https://link.springer.com/article/10.1007/s10874-004-1261-4,,10.1007/s10874-004-1261-4,31,148,2024-07-11 11:22:52,"google,google,google,google,scopus,scopus,google,google,google,google,scopus,scopus","pleurozium--absorption,pleurozium--absorption,pleurozium--distribution,pleurozium--scattering,pleurozium--distribution,pleurozium--phosphorus,pleurozium--absorption,pleurozium--absorption,pleurozium--distribution,pleurozium--scattering,pleurozium--distribution,pleurozium--phosphorus",70147
A Kłos,Determination of sorption properties of heavy metals in various biosorbents,2018,Ecological Chemistry and Engineering S,https://sciendo.com/article/10.1515/eces-2018-0013,,10.1515/eces-2018-0013,9,152,2024-07-11 11:22:52,"google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption",70151
"B Mankovska, M Florek, MV Frontas' eva, EV Ermakova…",The moss as tool for air pollution information in Slovakia,2004,,https://www.osti.gov/etdeweb/biblio/21000739,,,0,154,2024-07-11 11:22:52,"google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption",70153
"K Grodzińska, M Frontasyeva…",Trace element contamination in industrial regions of Poland studied by moss monitoring,2003,Environmental …,https://link.springer.com/article/10.1023/A:1024871310926,,10.1023/A:1024871310926,82,155,2024-07-11 11:22:52,"google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption",70154
"A Kos, M Rajfur, I Sramek…",Use of lichen and moss in assessment of forest contamination with heavy metals in praded and glacensis euroregions (Poland and Czech Republic),2011,"Water, Air and Soil …",https://search.proquest.com/openview/a169e0c80d8e7a9bb1764229ea680c25/1?pq-origsite=gscholar&cbl=54157,,,5,156,2024-07-11 11:22:52,"google,google,google,scopus,scopus,google,google,google,scopus,scopus","pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--distribution,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--distribution",70155
SS Groet,Regional and local variations in heavy metal concentrations of bryophytes in the northeastern United States,1976,Oikos,https://www.jstor.org/stable/3543463,,,126,157,2024-07-11 11:22:52,"google,google,google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--distribution,pleurozium--absorption,pleurozium--absorption,pleurozium--distribution",70156
"IV Rumyantsev, AM Dunaev, MV Frontasyeva…",Interspecies comparison of elemental content in moss From Ivanovo region determined by NAA and AAS,2013,… Seminar оn Interaction …,http://isinn.jinr.ru/proceedings/isinn-21/pdf/rumyantsev.pdf,PDF,,5,162,2024-07-11 11:22:52,"google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption",70161
"P Kapusta, G Szarek-Łukaszewska…",Present and past deposition of heavy metals in Poland as determined by moss monitoring,2014,Polish Journal of …,http://www.pjoes.com/pdf-50781-23258?filename=23258.pdf,PDF,,14,163,2024-07-11 11:22:52,"google,google,google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--distribution,pleurozium--absorption,pleurozium--absorption,pleurozium--distribution",70162
"AL Borisenko, NK Ryzhakova…",Mosses as indicators of urban environmental pollution: Examples of pylaisia polyantha (HEDW.) BSG from West Siberia,2018,"Mosses: Ecology, Life …",https://www.researchgate.net/profile/Irina-Volkova/publication/319414005_Sphagnum_mosses_on_the_mires_of_the_Altai-Sayan_Mountains_region/links/5d899dd792851ceb793aa094/Sphagnum-mosses-on-the-mires-of-the-Altai-Sayan-Mountains-region.pdf#page=43,PDF,,4,164,2024-07-11 11:22:52,"google,google,google,google,google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--height,pleurozium--rhizoid,pleurozium--absorption,pleurozium--absorption,pleurozium--height,pleurozium--rhizoid",70163
"A Kłos, M Rajfur, M Wacławek, W Wacławek",137Cs transfer from local particulate matter to lichens and mosses,2009,Nukleonika,https://bibliotekanauki.pl/articles/148173.pdf,PDF,,11,166,2024-07-11 11:22:52,"google,google,google,google,google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--height,pleurozium--soil,pleurozium--absorption,pleurozium--absorption,pleurozium--height,pleurozium--soil",70165
I Zinicovscaia,FINAL REPORT ON THE INTEREST PROGRAMME,NA,interest.jinr.ru,https://interest.jinr.ru/uploads/report_files/report_student_1148_project_199.pdf,PDF,,0,167,2024-07-11 11:22:52,"google,google,google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--scattering,pleurozium--absorption,pleurozium--absorption,pleurozium--scattering",70166
"G Gao, H Zeng, Q Zhou",Biomonitoring atmospheric pollution of polycyclic aromatic hydrocarbons using mosses,2022,Atmosphere,https://www.mdpi.com/2073-4433/14/1/26,HTML,,8,169,2024-07-11 11:22:52,"google,google,google,google,scopus,google,google,google,google,scopus","pleurozium--absorption,pleurozium--absorption,pleurozium--leafarea,pleurozium--rhizoid,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--leafarea,pleurozium--rhizoid,pleurozium--absorption",70168
M Nasr,"Mercury levels in fungal fruiting bodies from interior and coastal forests in the Bay of Fundy region, New Brunswick, Canada",2007,,https://library-archives.canada.ca/eng/services/services-libraries/theses/Pages/item.aspx?idNumber=749082896,,,3,170,2024-07-11 11:22:52,"google,google,google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--height,pleurozium--absorption,pleurozium--absorption,pleurozium--height",70169
IV Lyanguzova,"Airborne Heavy Metal Pollution and its Effects on Biomass of Ground Vegetation, Foliar Elemental Composition and Metabolic Profiling of Forest Plants in the Kola …",2021,Russian Journal of Plant Physiology,https://link.springer.com/article/10.1134/S1021443721070086,,10.1134/S1021443721070086,2,172,2024-07-11 11:22:52,"google,google,google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--height,pleurozium--absorption,pleurozium--absorption,pleurozium--height",70171
"D Ceburnis, Å Rühling, K Kvietkus",Extended study of atmospheric heavy metal deposition in Lithuania based on moss analysis,1997,Environmental monitoring and …,https://link.springer.com/article/10.1023/A:1005779101732,,10.1023/A:1005779101732,50,174,2024-07-11 11:22:52,"google,google,google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--distribution,pleurozium--absorption,pleurozium--absorption,pleurozium--distribution",70173
"O Zackrisson, MC Nilsson, A Dahlberg, A Jäderlund",Interference mechanisms in conifer-Ericaceae-feathermoss communities,1997,Oikos,https://www.jstor.org/stable/3546287,,,163,176,2024-07-11 11:22:52,"google,google,google,google,google,google,scopus,google,google,google,google,google,google,scopus","pleurozium--absorption,pleurozium--absorption,pleurozium--carbon,pleurozium--light,pleurozium--nitrogen,pleurozium--phosphorus,pleurozium--nitrogen,pleurozium--absorption,pleurozium--absorption,pleurozium--carbon,pleurozium--light,pleurozium--nitrogen,pleurozium--phosphorus,pleurozium--nitrogen",70175
"E Rajandu, KL Kaljuvee, M Kulp, M Kaasik…",Syntrichia ruralis as a suitable bioindicator for urban areas–the case study of Tallinn city,2024,Folia Cryptogamica …,https://ojs.utlib.ee/index.php/FCE/article/view/23459,,,0,177,2024-07-11 11:22:52,"google,google,scopus,scopus,google,google,scopus,scopus,google,google,google,google,google,scopus,scopus","pleurozium--absorption,pleurozium--absorption,pleurozium--nitrogen,pleurozium--soil,pleurozium--absorption,pleurozium--absorption,pleurozium--nitrogen,pleurozium--soil,syntrichia--absorption,syntrichia--absorption,syntrichia--distribution,syntrichia--nitrogen,syntrichia--soil,syntrichia--soil,sytrichia--nitrogen",70176
JW Bates,Regional calcicoly in the moss Rhytidiadelphus triquetrus: survival and chemistry of transplant at a formerly SO2-polluted site with acid soil,1993,Annals of Botany,https://www.sciencedirect.com/science/article/pii/S0305736483711315,,,30,180,2024-07-11 11:22:52,"google,google,google,google,scopus,google,google,google,google,scopus","pleurozium--absorption,pleurozium--absorption,pleurozium--phosphorus,pleurozium--soil,pleurozium--soil,pleurozium--absorption,pleurozium--absorption,pleurozium--phosphorus,pleurozium--soil,pleurozium--soil",70179
"VD Strakhovenko, FV Sukhorukov, BL Shcherbov","The present-day level of long-living artificial radionuclides content in mosses, lichens and needles of Siberia areas; Sovremennyj uroven'o soderzhanij …",2005,,https://www.osti.gov/etdeweb/biblio/20676543,,,0,182,2024-07-11 11:22:52,"google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption",70181
"T KANERVA, O SARIN, P NUORTEVA","Aluminium, iron, zinc, cadmium and mercury in some indicator plants growing in south Finnish forest areas with different degrees of damage",1988,Annales Botanici Fennici,https://www.jstor.org/stable/23725505,,,29,183,2024-07-11 11:22:52,"google,google,google,scopus,google,google,google,scopus","pleurozium--absorption,pleurozium--absorption,pleurozium--height,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--height,pleurozium--absorption",70182
"LJR Boileau, PJ Beckett, P Lavoie…","Lichens and mosses as monitors of industrial activity associated with uranium mining in northern Ontario, Canada—Part 1: field procedures, chemical analysis and …",1982,… Pollution Series B …,https://www.sciencedirect.com/science/article/pii/0143148X82900362,,,89,185,2024-07-11 11:22:52,"google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption",70184
"R Šoltés, E Gregušková",Bryomonitoring of element deposition in three walleys in the Tatra Mts (Slovakia) based on X-ray spectrometry,2012,Oecologia Montana,http://om.vuvb.uniza.sk/index.php/OM/article/view/234,,,6,186,2024-07-11 11:22:52,"google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption",70185
"A Grimm, R Zanzi, E Björnbom, AL Cukierman",Comparison of different types of biomasses for copper biosorption,2008,Bioresource Technology,https://www.sciencedirect.com/science/article/pii/S0960852407003823,,,155,187,2024-07-11 11:22:52,"google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption",70186
"P Swislowski, M Rajfur, M Waclawek",Influence of heavy metal concentration on chlorophyll content in Pleurozium schreberi mosses,2020,Ecol Chem Eng S,https://hero.epa.gov/hero/index.cfm/reference/details/reference_id/7333013,,,12,189,2024-07-11 11:22:52,"google,google,google,scopus,scopus,google,google,google,scopus,scopus","pleurozium--absorption,pleurozium--absorption,pleurozium--chlorophyll,pleurozium--absorption,pleurozium--chlorophyll,pleurozium--absorption,pleurozium--absorption,pleurozium--chlorophyll,pleurozium--absorption,pleurozium--chlorophyll",70188
"O Motyka, L Chlebíková, K Mamulová Kutláková…",Ti and Zn Content in Moss Shoots After Exposure to TiO2 and ZnO Nanoparticles: Biomonitoring Possibilities,2019,Bulletin of environmental …,https://link.springer.com/article/10.1007/s00128-019-02544-x,HTML,10.1007/s00128-019-02544-x,5,190,2024-07-11 11:22:52,"google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption",70189
"A Kasiuliene, V Paulauskas, V Marozas…",Accumulation of heavy metals in forest dwarf shrubs and dominant mosses as bioindicators of atmospheric pollution,2019,Journal of …,https://bibliotekanauki.pl/articles/13600.pdf,PDF,,6,191,2024-07-11 11:22:52,"google,google,google,scopus,google,google,google,scopus","pleurozium--absorption,pleurozium--absorption,pleurozium--scattering,pleurozium--soil,pleurozium--absorption,pleurozium--absorption,pleurozium--scattering,pleurozium--soil",70190
"S Liiv, M Kaasik",Trace metals in mosses in the Estonian oil shale processing region,2004,Journal of Atmospheric Chemistry,https://link.springer.com/article/10.1007/s10874-004-1266-z,,10.1007/s10874-004-1266-z,36,193,2024-07-11 11:22:52,"google,google,google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--scattering,pleurozium--absorption,pleurozium--absorption,pleurozium--scattering",70192
"A Kłos, Z Bochenek, JW Bjerke, B Zagajewski…",The use of mosses in biomonitoring of selected areas in Poland and Spitsbergen in the years from 1975 to 2014,2015,… and Engineering S,https://sciendo.com/article/10.1515/eces-2015-0011,,10.1515/eces-2015-0011,22,194,2024-07-11 11:22:52,"google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption",70193
"B Maňkovská, J Oszlányi",Long term air pollution studies (1990− 2005) in Báb research sites using the moss biomonitoring technique,2010,Ekológia (Bratislava),http://publikacie.uke.sav.sk/sites/default/files/ekol_2010_01_40_mankovska.pdf,PDF,,8,195,2024-07-11 11:22:52,"google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption",70194
"O Chaligava, MV Frontasyeva",STUDY OF MAJOR AND TRACE ELEMENTS IN MOSS SAMPLES FROM GEORGIA USING NEUTRON ACTIVATION ANALYSIS,NA,students.jinr.ru,https://students.jinr.ru/uploads/arhive_reports/Chaligava-2015.pdf,PDF,,0,196,2024-07-11 11:22:52,"google,google,google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--scattering,pleurozium--absorption,pleurozium--absorption,pleurozium--scattering",70195
"I Krausová, J Kučera, I Světlík",Determination of 129I in biomonitors collected in the vicinity of a nuclear power plant by neutron activation analysis,2013,Journal of Radioanalytical and Nuclear …,https://link.springer.com/article/10.1007/s10967-012-2200-5,HTML,10.1007/s10967-012-2200-5,10,198,2024-07-11 11:22:52,"google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--absorption,pleurozium--absorption",70197
"T Ciesielczuk, T Olszowski, M Prokop…",Application of mosses to identification of emission sources of polycyclic aromatic hydrocarbons/Wykorzystanie mchów do identyfikacji źródeł emisji …,2012,Ecological Chemistry and …,https://sciendo.com/article/10.2478/v10216-011-0041-8,,10.2478/v10216-011-0041-8,18,199,2024-07-11 11:22:52,"google,google,google,google,google,google,google,google","pleurozium--absorption,pleurozium--absorption,pleurozium--height,pleurozium--light,pleurozium--absorption,pleurozium--absorption,pleurozium--height,pleurozium--light",70198
DR Foster,"Vegetation development following fire in Picea mariana (black spruce)-Pleurozium forests of south-eastern Labrador, Canada",1985,The Journal of Ecology,https://www.jstor.org/stable/2260491?casa_token=VnJkiSIuBZQAAAAA:jZtRW0MTg7-Wop_O7RG0tsxZVupxfqSADxC7Gt_cyvFdU869KU6HYlA7yWJSiPKf_nwZX_QcFcfgqRnTIgsuFv8_OkY1MIQ08zcbfsjGFkeHff6E1YHW_A,,,321,6,2024-07-12 10:07:33,"google,google,google,google,google,google,google,scopus,google,google,google,google,google,google,google,scopus,scopus,scopus","pleurozium--albedo,pleurozium--albedo,pleurozium--distribution,pleurozium--height,pleurozium--light,pleurozium--scattering,pleurozium--soil,pleurozium--soil,pleurozium--albedo,pleurozium--albedo,pleurozium--distribution,pleurozium--height,pleurozium--light,pleurozium--scattering,pleurozium--soil,pleurozium--soil,sphagnum--soil,sphagnum--soil",70205
"B Ammann, UJ van Raden, J Schwander…","Responses to rapid warming at Termination 1a at Gerzensee (Central Europe): Primary succession, albedo, soils, lake development, and ecological interactions",2013,Palaeogeography …,https://www.sciencedirect.com/science/article/pii/S0031018213005014,,,34,8,2024-07-12 10:07:33,"google,google,google,google","pleurozium--albedo,pleurozium--albedo,pleurozium--albedo,pleurozium--albedo",70207
"P Worsley, SD Gurney, PEE Collins","Late Holocene 'mineral palsas' and associated vegetation patterns: a case study from Lac Hendry, Northern Quebec, Canada and significance for European …",1995,Quaternary Science Reviews,https://www.sciencedirect.com/science/article/pii/0277379195000038,,,45,14,2024-07-12 10:07:33,"google,google,google,google","pleurozium--albedo,pleurozium--albedo,pleurozium--albedo,pleurozium--albedo",70213
J Whiteley,Climate change and habitat fragmentation in a boreal forest bryosphere experiment,2013,,https://escholarship.mcgill.ca/concern/theses/cr56n4655,,,1,24,2024-07-12 10:07:33,"google,google,google,google,google,google","pleurozium--albedo,pleurozium--albedo,pleurozium--nitrogenfixation,pleurozium--albedo,pleurozium--albedo,pleurozium--nitrogenfixation",70223
SF Oberbauer,The Ecosystem Role of Poikilohydric Tundra Plants,2012,Arctic Ecosystems in a Changing Climate: An …,https://books.google.com/books?hl=en&lr=&id=nVSDRA2biLkC&oi=fnd&pg=PA213&dq=pleurozium+albedo&ots=uuJPH77chy&sig=8jWj0sZ_nPq4OYEE3tGC0PfEvYk,,,0,31,2024-07-12 10:07:33,"google,google,google,google,google,google,google,google,google,google","pleurozium--albedo,pleurozium--albedo,pleurozium--carboxylation,pleurozium--leafarea,pleurozium--albedo,pleurozium--albedo,pleurozium--carboxylation,pleurozium--leafarea,sphagnum--albedo,sphagnum--albedo",70230
"W Larcher, A Cernusca, L Schmidt, G Grabherr…","Mt. Patscherkofel, Austria",1975,Ecological Bulletins,https://www.jstor.org/stable/45331776?casa_token=gufbMCGpuMQAAAAA:zm1_dSy0ADELNi4PjbYr9GfGrwYdbgyHzfShnCoV9Q8E3CgbgPIUOP635_843CuUZ73FaE-x5avwTk5jvo_0dSS00oesje-oUzsUlRsVXpLpYDE2-C_KSg,,,27,35,2024-07-12 10:07:33,"google,google,google,google,google,google,google,google","pleurozium--albedo,pleurozium--albedo,pleurozium--leafarea,pleurozium--waterpotential,pleurozium--albedo,pleurozium--albedo,pleurozium--leafarea,pleurozium--waterpotential",70234
KA Kershaw,The role of lichens in boreal tundra transition areas,1978,Bryologist,https://www.jstor.org/stable/3242190?casa_token=-yzXjTxjDhUAAAAA:iRc2Z2fPAgxa014wdzhlo4KOABWFXK0yDNdRIuIgcGdYqvsmgZyAqXYgwR9VxxrzLZdsh5jhOM6w7mkNSTwltWs5vGclcfNFKVQvLMt26oWg6SoswneNHQ,,,97,41,2024-07-12 10:07:33,"google,google,google,google,google,google","pleurozium--albedo,pleurozium--albedo,pleurozium--scattering,pleurozium--albedo,pleurozium--albedo,pleurozium--scattering",70240
"A Holzinger, IS Jónsdóttir, D Nývlt, M Šabacká…",POLAR ECOLOGY CONFERENCE 2016,NA,ipgg.sbras.ru,http://www.ipgg.sbras.ru/ru/publications/ibc/2016/pec-2016.pdf,PDF,,0,45,2024-07-12 10:07:33,"google,google,google,google,google,google,google,google,google,google","pleurozium--albedo,pleurozium--albedo,pleurozium--electrontransport,pleurozium--photosystem,pleurozium--quantumyield,pleurozium--albedo,pleurozium--albedo,pleurozium--electrontransport,pleurozium--photosystem,pleurozium--quantumyield",70244
"T Laurila, H Soegaard, CR Lloyd, M Aurela…",Seasonal variations of net CO2 exchange in European Arctic ecosystems,2001,Theoretical and Applied …,https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s007040170014&casa_token=VpkGpv5W0doAAAAA:V6F9ka7G4lTPIia4ren9IUtdVyZ0M3AoOHekzVsLtIKpTxQCXCIcirZ_YRFEHFvbtSTCcY1zYyBNdWaWqhQ,,10.1007/s007040170014,83,46,2024-07-12 10:07:33,"google,google,google,google,google,google,google,google,google,google","pleurozium--albedo,pleurozium--albedo,pleurozium--reflectance,pleurozium--rubisco,pleurozium--albedo,pleurozium--albedo,pleurozium--reflectance,pleurozium--rubisco,sphagnum--albedo,sphagnum--albedo",70245
"A Pentecost, BA Whitton",Subaerial cyanobacteria,2012,Ecology of Cyanobacteria II: their diversity in …,https://link.springer.com/chapter/10.1007/978-94-007-3855-3_10,,10.1007/978-94-007-3855-3_10,42,50,2024-07-12 10:07:33,"google,google,google,google,google,google","pleurozium--albedo,pleurozium--albedo,pleurozium--rubisco,pleurozium--albedo,pleurozium--albedo,pleurozium--rubisco",70249
L Speranskaya,Evaporation at Kopuatai bog: an investigation of dry and wet canopy evaporation regimes,2023,,https://researchcommons.waikato.ac.nz/handle/10289/16269,,,0,53,2024-07-12 10:07:33,"google,google,google,google,google,google","pleurozium--albedo,pleurozium--albedo,pleurozium--conductance,pleurozium--albedo,pleurozium--albedo,pleurozium--conductance",70252
DJ Naranjo Orrico,"How do lichens, willow shrubs, meadow, and heath plant communities affect microclimate?",2022,,https://ntnuopen.ntnu.no/ntnu-xmlui/bitstream/handle/11250/3001608/no.ntnu:inspera:104135638:71012493.pdf?sequence=1,PDF,,0,56,2024-07-12 10:07:33,"google,google,google,google,google,google","pleurozium--albedo,pleurozium--albedo,pleurozium--functionaltrait,pleurozium--albedo,pleurozium--albedo,pleurozium--functionaltrait",70255
"M Pacé, NJ Fenton, D Paré, FOP Stefani…",Lichens contribute to open woodland stability in the boreal forest through detrimental effects on pine growth and root ectomycorrhizal development,2019,Ecosystems,https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10021-018-0262-0&casa_token=lrY2ZryNcPcAAAAA:wTxei01hJqObtoSkUIwl_kwosXqmjSmzsUMPaHR7vIG45bht4RiTlwN57iIjX66mDNGIcZS9ihZo9la8HF0,HTML,10.1007/s10021-018-0262-0,17,58,2024-07-12 10:07:33,"google,google,google,google,google,google","pleurozium--albedo,pleurozium--albedo,pleurozium--phosphorus,pleurozium--albedo,pleurozium--albedo,pleurozium--phosphorus",70257
"LA Viereck, CT Dyrness, KV Cleve…","Vegetation, soils, and forest productivity in selected forest types in interior Alaska",1983,Canadian Journal of …,https://cdnsciencepub.com/doi/abs/10.1139/x83-101,,10.1139/x83-101,303,65,2024-07-12 10:07:33,"google,google,google,google","pleurozium--albedo,pleurozium--albedo,pleurozium--albedo,pleurozium--albedo",70264
